reviews,stars,dates
"  O controle é de excelente qualidade e tudo veio muito bem embalado.A Alexa pode pesquisar por qualquer filme/gênero em qualquer plataforma compatível com o dispositivo.A configuração é um pouco burocrática por ter que digitar no controle todas as credenciais de acesso dos aplicativos (podiam integrar isso no comando de voz da Alexa, pra facilitar a digitação).Alguns comandos também não funcionam muito bem, como nos cenários:1. (Funciona) - ""Alexa, abra o Star+ e procure pelo filme X"";2. (Não funciona) ""Alexa, procure por filme X no Star+"".Precisa dar uma melhorada nessa IA. Fora isso, produto muito bom!",5,2022-02-10
"  Se você utiliza senha para acessar Netflix, Prime, Disney etc, o botão do controle que iria direto não funciona, nem a Alexa. Da na mesma do que o modelo mais barato. Além disso, no dia que chegou, o preço baixou consideravelmente. Só não devolvi porque já tinha instalado na TV. Uma pena.",3,2021-11-28
"  O produto é muito bom mesmo.- Ótima resolução.- Fácil de instalar.- Bastante diversidade de aplicativos.Pontos negativos- Achei o controle um pouco pequeno, e isso é ruim, bom pelo menos pra mim, pois, às vezes eu perco o controle ou deixo cair porque é muito pequeno. Acho que o tamanho dele poderia ser médio pelo menos!- Poderia ter o Google play livros, porque eu leio bastante e às vezes gosto de ler na tv. Também acho que poderia ter o Google play filmes, mas como tem o YouTube, posso alugar na minha conta e assistir lá.Tirando isso, achei muito bom e de boa qualidade!",5,2021-06-05
"  Comprei com um pouco de receio por não ter certeza se seria tão necessário obter um sistema novo para a minha smart tv... mesmo com o sistema ultrapassado dela (de 2016...tem só netflix hoje em dia.rs). Eu me surpreendi com tudo que tem nesse aparelho desde o primeiro dia de instalação/uso. Transformou/renovou a minha tv. Recomendo!  Obs. Também achava desnecessária a inclusão da Alexa no controle, pois eu nunca utilizei assistentes vituais (nem no celular), mas isso foi outro ponto que também me surpreendeu positivamente. É incrível a quantidade de coisas que dá para fazer através dela. Amo!rs",5,2021-11-08
"  Maravilhoso, comprem sem medo!Eu tinha muito medo de comprar o aparelho e me decepcionar, visto que nenhuma das TVs de casa são Smart, pesquisei bastante e optei por este aparelho, eu e meu esposo adoramos, você não fica refém do celular, a TV realmente vira Smart.Sobre os pontos de reclamações que eu vi nos comentários, realmente ao conectar o aparelho em uma TV e depois em outra as funções do controle de Liga/Desliga e Volume não funcionam na segunda TV instalada, para mim não é problema.Sobre o GloboPlay não posso opinar visto que não sou usuária do mesmo então não precisei baixar.Do mais amei, comprem sem medo!",5,2022-01-24
"  Excelente opção para fazer um upgrade no sistema de sua TV. Mesmo minha televisão já sendo smart, com o Fire Stick ela ficou muito melhor. Conexão tanto em 2G quanto em 5G deixando o carregamento dos filmes em alta qualidade muito mais rápido. Tem Bluetooth para conexão em soundbar, fone sem fio ou home teather. Muito fácil de instalar e usar e tem acesso aos melhores aplicativos de streaming do momento. Gostei demais e já penso em comprar outro para usar na TV do quarto. Recomendo demais essa compra.",5,2022-01-25
"  Comprei por 265,00 e valeu muito a pena. Minha smartv deixou ter de vários aplicativos básicos como YouTube, Netflix e não instalava os mais novos como telecine, prime vídeo, Disney plus. O equipamento funcionou muito bem mesmo com o sinal fraco de Wi-Fi.",5,2021-10-10
"  O dispositivo é fácil de usar, possui muitos recursos e seu tempo de resposta é extremamente rápido. Boa integração com minha TV, sendo possível controlar o Fire TV Stick com o controle remoto dela. A interface poderia ser mais intuitiva e menos confusa, às vezes fico perdido para selecionar os menus, pois a seleção é pouco destacada. Falta o app Globoplay na loja, mas é possível contornar instalando uma versão antiga de terceiros. Minha única reclamação é a Amazon enviar a caixa do aparelho dentro de um envelope e a embalagem terminou chegando amassada, mas felizmente ele não foi danificado.",5,2021-09-02
"  Foi muito fácil de instalar. Como eu pedi para vincular a minha conta amazon, assim que pluguei na TV já começou configurar no automático, em 10 min atualizou e estava pronto pra usar. Recebi o pacote antes do prazo, veio bem embalado. O produto tem boa qualidade, feito de plastico. O controle é menor do que eu esperava e bem leve, mas achei bom (acho que vale a pena comprar uma capa de borracha pra proteger). Antes do fire TV eu usava um notebook conectado na TV para ver netflix e prime. Agora chega de sofrimento, faço tudo pelo controle com alexa kk",5,2021-09-23
"  Tenho uma smart da Philco, mas só funciona a Netflix, ou seja, praticamente não era smart. Se vc possui uma tv antiga e quer uma smart recomendo comprar esse aparelho. A integração com a Caixa Echo só não é melhor por causa da tv. Se vcs tiverem uma melhor a integração vai ser perfeita. Recomendo assistir tutoriais no YouTube, tem vários vídeos legais com dicas de uso.",5,2022-01-30
"  Produto chegou extremamente rápido, fiz a compra no dia 11\06 e estava previsto para chegar dia 22\06, mas chegou no dia 15\06. E eu moro no nordeste que tudo sempre demora, eu amei.O produto veio muitissimo bem embalado e protegido. Tenho um Echo Dot em casa ao lado  da tv e tentei configurar e conecta os dispositivos e deu um pouquinho de trabalho, mas consegui vincular para ligar a tv, escolhar o programa e mudar o volume da tv tudo sem o controle o que já é ótiimo.Estou com problemas para instalar alguns aplicativos como youtube disney+ e alguns outros, não sei pq vou tentar em outro momento, espero que não seja um problema.De modo geral assim que possível venho atualizar a minha experiência, mas até então tudo funcionando normalmente só essa questão dos app que não estão sendo baixados.A interface é bem fácil e atrativa de se mexer,  e muito rápido os controles e tudo mais.",4,2021-06-16
"  A ideia  é  boa. Mas falta mais interação com a Alexa, que não  entende td o falamos. A Alexa tem dificuldade de alternar entre apps e também não  consegue acessa históricos e configurações dos apps como YouTube. E não  tem opção, com o controle Fire Tv, para mudar o canal da TV aberta da antena comum. E também não tem a função de abrir entradas de USB, hdmi, antena parabólica e outros dispositivos conectados a TV. Fora isso legal o som é bom e a imagem é legal. Foi demorado mais fácil de instalar o Fire TV. E é interessante ter um assistente virtual, mas precisa melhorar o entendimento dela, funcionalidade e operabilidade do controle.",2,2022-01-29
"  Comprei a Amazon Fire pq minha SmarTV é antiga e a navegação lenta, travando com muita frequência. Para este propósito, o resultado foi excelente. A navegação é muito rápida e fluida, o avanço ou retrocesso do YT é quase imediato.Além disso, a integração com outros dispositivos Alexa é instantânea e bem útil, pois passa a ser possível ligar a TV, abrir os apps, fazer pesquisa, avançar e retroceder, pelos dispositivos Alexa, além do controle, que por sinal é ótimo e mais rápido até do que os demais dispositivos.",5,2021-12-27
"  Minha TV é uma smart antiga e me ajudou muito com os novos apps que eu queria, rápido e muito ágil pra usar. No entanto, o controle remoto não desliga quando aperta, o volume tb. As vezes peço uma coisa pra Alexa e ela tbm não entende (funções referente ao controle remoto e quando entro no youtube e quero sair, a Alexa não entende o comando). Irei tentar instalar novamente para ver se as configurações do controle remoto e da Alexa vão funcionar. Fora isso, é uma excelente aquisição, não me arrependo. Rápido, fácil de usar e as dicas de filmes com todos os streamings que possuo na tela é excelente ideia! Muito bom, não me arrependo.",5,2022-01-21
"  Já tinha o modelo anterior, mas esse me criou um problema novo. Agora toda vez que desligo a tv, quando ligo preciso reiniciar o fire stick umas duas vezes, para começar sair som...Os botões adicionais que vieram da versão anterior ajudam muito, os botões de atalho do aplicativo podiam ser outros ou ser genéricos e pudéssemos definir o que em cada um.Acho que já passou da hora de vir junto a entrada ethernet, pagar adicionar para isso quase 40% do valor do produto é esquisito.",3,2021-11-05
"  Não tem app da HBO disponível. Alexa funciona de maneira meio diferente, precisa segurar o botão e falar, mas é boa a resposta. O sistema é fluído, responde rápido e a interface é bonita.Vale o investimento, porém pesquisem antes se sua TV irá se integrar de maneira transparente com o fire stick, minha TV não funcionou a troca de entrada via controle, mas volume e power rolou numa boa. No mais foi um excelente upgrade para meu falecido e limitado chromecast!",5,2021-10-22
"  Eu já tinha o Fire TV Stick Lite, porém, sempre que religo a tv o dispositivo não funciona. então, sempre preciso desplugar da tomada e plugar novamente. Então resolvi comprar esse Novo Fire TV Stick com Controle Remoto por Voz com Alexa (inclui comandos de TV), achando que resolveria. O problema continua - o botão liga/desliga não funciona e nem o volume (aparece como se tivesse ok, mas não funciona). Minha TV é uma CCE stile digital 32"" LCD com conversor integrado. Não encontrei na especificação do dispositivo nenhuma observação sobre não funcionar nesse tipo de TV. Podem ajudar?",3,2021-12-07
"  O produto é muito bom, tem a maioria dos apps de streaming que usamos atualmente, é muito rápido,  tem um S.O. próprio, porém tem a base do Android dando a possibilidade de instalar uma infinidade de apps por lojas alternativas, reproduz os vídeos em full HD e o mais FANTÁSTICO é o botão ALEXA que torna tudo muito mais fácil, consigo controlar praticamente tudo no fire TV por comandos de voz, controle de luz wifi e inclusive controlar minha TV com comandos de volume, mudar entradas e ligar e desligar a TV, o produto é realmente muito bom e apesar da minha TV já ser smart o sistema dele é mais prático e intuitivo. RECOMENDADO!!!",5,2021-12-09
"  Gostei do produto,  estava com receio de não funcionar muito bem em um tv antiga, Sony Bravia, mas a configuração foi rápida e super tranquila. E a possibilidade de usar a Alexa agrega bastante praticidade para pessoas que tem dificuldade em utilizar o menu para fazer buscas de filmes, músicas etc.O único ponto que creio que deixou a desejar foi o controle dos pais, em minha opinião.",5,2021-11-21
"  Excelente aparelho, um pouco demorado para iniciar mas é fácil. Funciomento com a Alexa é incrível mesmo não tenho ecodot. Recomendo muito! Entre o essa versão e a versão Lite que ia comprar 1000 vezes melhor essa porque substitui completamente o controle da TV e a Alexa tem melhor integração com ela como por exemplo ligar e desligar apenas com comando de voz. Mesmo não tendo todos os APPs disponível nativamente para baixar é possível baixar e instalar facilmente APPs não nativos.Só tenho elogios, aparelho excelente que me fez economizar 2500 reais na troca da TV por não ter todos os APPs de stream que assino.",5,2021-10-09
"  O FireTv Stick é sensacional, principalmente se você já tem uma echo dot e/ou já usa Alexa. Integra muito bem e o aparelho é bem rápido, ao contrário do sistema da tv. Tem suporte a diversos serviços de streaming e os que não tem, você consegue baixar em algum site e instalar, exemplo > HBO MAX. Até agora estou curtindo bastante. A busca por voz também é ótima e super rápida.",5,2021-12-09
"  Tinha comprado um no fim do ano para uma das TVs aqui de casa. Ele funcionou tão bem que comprei outro e estou super satisfeito.Netflix, Amazon Prime, Disney+, Start+, Paramaut+, DirectvGo, todos funcionam perfeitos com acesso rápido e no mesmo aparelho, muito prático.Falta apenas o aplicativo da HBOMAX na loja oficial para ficar perfeito.",5,2022-02-15
"  4/5 por não tem Globoplay, e mais importante: Não tem HBO Max. Antes eu ainda conseguia assistir usando o navegador do próprio FireStick, mas depois de uma atualização o navegador não tem suporte para o site da HBO Max.Fora isso não mais absolutamente nada a reclamar. Super fácil de instalar, o controle de voz é muito bom, não é lento na maior parte das vezes, o Wifi é 5G (rápido)... Valeu o preço pago na promoção, preço cheio já acho salgado...",4,2022-01-13
"  O fire stick está para a TV a cabo assim como a TV a cabo esteve para a TV aberta na década de 90.Isso muda a vida e gera uma pequena revolução na sua casa, ao transformar equipamentos velhos de TV da década passada (cara, o tempo passou) em uma super mega foderossa tv com acesso ao mundo inteiro.Ainda não conseguimos explorar todas as opções, mas minha filha já adorou a integração com a Alexa.",5,2021-06-17
"  Amazon me surpreende sempre! Comprei ontem, e hoje (sexta feira de Black Friday) já chegou! Nenhum outro lugar entrega nessa velocidade, por isso dou preferência comprar aqui! Tudo certinho! Ainda vem com as pilhas do controle remoto, super fácil a instalação e integração com Alexa. Ameiiii",5,2021-11-26
"  Eu gostei muito, coloquei todas as minhas streaming em um só lugar. Ficou muito fácil e prático. O controle é muito fácil de mexer, pequeno e prático. Além de ter a Alexa para te ajudar e facilitar sua vida. Eu tinha uma smart tv antiga e não tinha como atualizar os aplicativos, más agora com a FireTv Stik, ela tem tudo que eu preciso. Eu recomendo para quem estiver pensando em comprar.",5,2022-02-02
"  Sem dúvida é num excelente dispositivo. Cumpre o que promete minha smart tv era boa, mas com o Amazon Fire tv Stick percebi o quanto ela estava defasada. A navegação pelos aplicativos é rápida e navegar pela internet fico um melhor e mais fácil. Dei preferência para o modelo 4K com controle remoto com teclas de atalho  e não me arrependo. Como pontos positivos destaco a integração com a Alexa - apesar que uso pouco, a portabilidade e facilidade da instalação. É um produto que recomendo, caso você esteja procurando uma alternativa às tv box. A Amazon está de parabéns!",5,2022-01-05
"  O controle vale totalmente a diferença de preço pro outro modelo. É muito bom controlar a TV (volume/liga e desliga) e o stick por um único controle.Eu tinha o firetv box (modelo EUA) antes e troquei porque o software não atualiza mais. Achei o software do stick mais lento, mas vale pelos aplicativos que o Box não comporta (vivoplay e telecine).Único ponto negativo é não ter Claro now e Globo play na appstore. E seria legal poder personalizar os botões de acesso rápido aos apps.",5,2021-12-13
"  Vasta biblioteca de app e jogos, com boa integração aos principais streamings. Sobre o produto em si só tenho 2 pontos a melhorar.1 - HBO Max ainda não está na plataforma2 - Não sei sobre conexões HDMI mas achei que o controle desligaria minha tv por comando hdmi e não infravermelho, devido a isso não consigo desligar meu monitor.O controle possui uma aparência bonita e prática mas a tampa traseira para as pilhas é muito fácil de abrir saindo enquanto uso o controle.",4,2022-02-17
"  Primeiro passos foram complicados, precisei entrar em contato com o suporte pois estava dando erro ao baixar os app( erro ao efetuar o pagamento) sendo que o cartão tinha limite, suporte foi sensacional em dois minutos o atendente Joseph, resolveu colocando pagamento para um click e fez uma edição no meu endereço, reiniciei o stick tv, é o problema foi resolvido, um problema técnico no qual somente AMAZON resolve, no mais é sensacional, integração com ALEXIA é maravilhosa, muito inteligente e dinâmica, controle configurou rápido na tv, por ele ligo/ desligo e aumento volume, muito satisfeito com a compra.",4,2021-08-06
"  O controle é incrível, não trava, mas tem um probleminha só achei ele um pouco pequeno. A alexa dá resposta de imediata, sem nenhum problema, sem demora. Para instalar o ""chromecast"" é muito simples, rápido, e não têm dificuldade de encaixar cada peça. Em questão de demora de entrega... não tem isso eu, fiz o pedido na sexta-feira (dia 14/01) e estava previsto chegar no dia 28/01, mas chegou muito antes, hoje dia 21/01. Resumo: Tudo é de acordo como dito nas informações do produto. Mas fica a questão, o controle poderia ser maior.",5,2022-01-21
"  Serve bem a função de transformar a TV numa Smart.A interface é um pouco ruim na minha opinião, não é exatamente prático na maior parte do tempo e tem diversos aplicativos que não são compatíveis, como o SteamLink.Quebra um galho caso você não possua uma Smart TV.",3,2021-07-01
"  Recomendo 100%, deu um belo upgrade na minha tv que não era smart, além de assistir Netflix, YouTube e Disney plus, melhorou muito o som da minha TV. A Alexa dispensa comentários, excelente assistente. O controle remoto é perfeito, e a instalação é muito fácil. Foi a minha melhor compra do ano, e a entrega da Amazon foi rápida bem antes do prazo prometido.",5,2021-10-01
"  O produto me surpreendeu positivamente, ele já vem configurado para quem tem conta prime na Amazon e reúne todos os apps de stream, como Net Flix, Amazon prime, Amazon Music. Excelente, ainda mais por eu ter uma TV com tela boa, mas que ainda não era Smart.",5,2022-01-31
"  Aparelho muito bom, fácil instalação e fácil de utilizar. Minha família adorou!!!!Só tenho um reclamação quanto ao SITE AMAZON, pois em algumas compras que fiz, não consegui receber o produto, recebi o dinheiro de volta, mas o AMAZON precisa controlar melhor seu estoque. Pois se está no site disponível vc cria a expectativa para receber aquele produto. Decepcionado com o site da AMAZON!!!!",4,2021-12-10
"  Excelente produto, vem com AndroidTV, logo você fica limitado a determinados aplicativos que não existem na loja dele (não dispensando a possibilidade de instalar por fora, mas por se tratar de androidTv talvez n seja compatível);Funcionou 100% com os aplicativos de TV alternativos, a qualidade do material do produto é excelente e o sistema é extremamente fluído apesar da poluição visual do app (É amazon, poderia deixar reduzir um pouco os conteúdos que são exibidos na tela, mas enfim...) recomendo demais o produto... podem comprar sem dúvidas!!!",5,2021-11-22
"  Sem dúvida a melhor parte é usar a IA Alexa (Alecsia para nós)😁O produto transformou uma TV ultrapassada em uma TV moderna e fácil de controlar, a sincronização foi tranquila, acontecendo na segunda tentativa, praticamente não uso mais o controle da TV, apenas o controle do Firestick, a imagem é muito boa e a capacidade de armazenar os aplicativos é melhor do que a de muita TV de marca.Ainda tem alguns pequenos “bugs” como deixar a tela cinza ao ligar ao invés de aparecer a tela inicial, mas basta “falar” com a Alexa ou pressionar o botão tela inicial e ela aparece.Por enquanto muito satisfeito, até já coloquei o Cromecast para vender!",5,2021-06-27
"  Em relação à versão 'LITE' houve uma sensível melhora com o novo controle remoto e o 'Dolby Atmos'. A única obervação é que, após parear o aparelho com a Echo Studio, por duas vezes houve a perda do pareamento, obrigando a fazer nova conexão. No mais, o produto é excelente.",5,2021-05-17
"  Esse aparelho tem uma fluidez excelente, não trava, tem boa recepção de sinal Wi-Fi, o comando de voz é comparável aos das TVs premium. O manuseio é intuitivo, fácil de buscar filmes, séries e conteúdos no YouTube. Tem um excelente catálogo de aplicativos. Meu filho achou que era uma TV nova, só para ter uma noção da transformação. O controle remoto substituiu o da TV, liga desliga, altera o volume… Comprei na Black Friday com um desconto top. Vou esperar voltar uma promoção e comprar mais um para a outra TV aqui em casa.",5,2021-12-11
"  Moro em uma cidade do interior de São Paulo, recursos tecnológicos e Smart TVs são difíceis de serem encontradas nos lares das pessoas comuns. Entretanto, a experiência na compra do FireStick no portal da Amazon, entrega em menos de 5 dias úteis, embalagem e manual de instrução minuciosamente elaborados. Me fizeram enxergar como não podemos mais abrir mão de recursos tecnológicos. Experiência incrível, recomendo a todos que possuem uma casa na praia, interior ou até mesmo familiares que não possuem familiaridade com tecnologia. Um ótimo investimento que proporciona qualidade de vida e diversão.",5,2021-12-01
"  Tem muitos aplicativos disponíveis, foi fácil instalar e fácil de mexer.Acho que poderia ter uma interface mais bonita .",4,2021-05-06
"  Tenho um tv que é smart, mas já “antiga” e muitos dos apps não funcionam tão bem ou não são feitos novos. Comprei o Fire TV Stick para solucionar isso e estou muito feliz. Consigo ligar a tv por voz pedindo à Alexa via caixa Echo; o aplicativo do YouTube funciona muito bem, com a possibilidade de ajustar velocidade de vídeos sem travar (no app nativo da tv travava); tem disponível o app da Crunchyroll (que não tem para a maioria das tvs smart).",5,2022-02-05
"  Gostei muito da integração do controle remoto com os controles da minha TV, conseguindo mudar ate a entrada HDMI apenas pedindo para Alexa. Sistema FireOS muito fluido e rápido, apesar de contar com apenas 1GB de RAM. Compatível com os principais apps de streaming. HBO Max ainda não consta oficialmente no appstore mas da para instalar de canais alternativos o apk para TV Box. Recomendo 100%.",5,2021-12-07
"  Recomendo a compra, fácil de instalar, controle com ótimo funcionamento tanto para a TV como para o TvStick, e para quem está na dúvida entre comprar um box TV e o Fire Tv Stick recomendo que compre o TvStick estou usando ele com o wi-fi que está na sala e minha tv está no quarto dos fundos, está funcionando sem nenhum engasgo tem resposta rápida com os comandos tanto da Alexa como do controle.E a entrega da Amazon não precisa nem comentar a minha encomenda era para chegar no dia 27/05 chegou dia 19/05 e sou morador de cidade pequena do interior",5,2021-05-24
"  Gostei do fato de ter um controle remoto RF. Não precisa ficar apontando para a TV, isso é muito bacana. Gostei da quantidade de aplicativos disponiveis.Não gostei do fato de não ter uma configuração para o Fire TV NÃO entrar em modo de suspensão. Voce pode configurar o tempo em que ele entra em suspensão mas não pode desliga-lo. Corrijam isso por favor.Não gostei do fato de os Skills entre Fire TV e Echo Shows não serem os mesmos.Não gostei de não ser (pode ser culpa minha) fácil pedir ao Echo Show reproduzir um video no Fire Stick.",4,2022-02-16
"  Gostei do produto, é bom os botões dos aplicativos. O botão de desligar é ótimo, mais agora que tem ele, a Alex não consegue mais desligar a tv, como fazia no tv fire stick mais antigo, Acredito que devia ter as duas funções, poder desligar por voz e pelo botão.Vcs poderiam por um aplicativo próprio para espelhamento de tela, que também tenha como ser baixado no celular, pelo android, obrigada.",4,2021-08-20
"  Eita produto bom! Fácil de usar. O sistema operacional é super rápido, otimizado e integrado. Interage super bem com a Alexa. Minha Smart TV LG ficou com o sistema lento com o passar do tempo. Já não suportava mais a mensagem ""Memória insuficiente. Reinicie o aplicativo"". Comprei o Fire TV, super rápido e prático. Dei um up na minha TV. Ainda vou levar um tempinho pra comprar uma nova, porque a imagem da minha TV ainda é muito boa. Recomendo.",5,2021-12-13
"  Eu adorei o produto!Adorei a forma como a TV fica muuuuito mais intuitiva!Adorei a interação com a Alexa e as inúmeras possibilidades de diversão.Minha única resalva é quanto ao controle remoto, pois acho que se o botão navegação/selecionar fosse invertido com os demais botões, ou seja, se o botão navegação/selecionar ficasse no centro do controle, o mesmo ficaria bem mais ergonômico. Fica a dica para as próximas edições.",5,2021-10-09
"  Não há motivos para não ter alguns streamings como Globoplay e HBO Max.Não confio nestes processos de APK via Downloader.Acaba sendo inviável, bem melhor comprar outra marca.Fora que não tem espelhamento nativo dos app do celular como o Chromecast, somente alguns app como o Netflix.Aí dificulta.Layout é bom.Alexandre inteligente.Mas no geral, é caro para o que oferece: Mibox ou Chromecast acabam sendo melhores compras.",2,2022-01-17
"  Sistema muito bom, rápido e fácil de usar, mas tive um problema quanto a aquisição de apps, sempre dava erro ao tentar instalar, tive que remover minhas formas de pagamento da Amazon e recolocá-las, muito inconveniente.A loja tem poucos aplicativos interessantes, fazendo com que o usuário necessite buscar outra forma para instalar apps que são do seu interesse.",4,2021-08-23
"  Produto genial, fácil instalação, controle remoto interativo e a Alexa funciona muito bem. Navegação nos aplicativos rápida e precisa, comprei para usar o DirecTV Go e funcionou perfeitamente, sem delay e muito rápido. Só encontrei três pequenos problemas que não chegam a prejudicar o desempenho: não dá para desinstalar os programas nativos da Amazon ( por exemplo o Amazon Kids), não instala o Chrome e desativou as funções de menu no controle da minha TV (Sony). No mais um super produto que entrega bem mais que promete. Ah! A Amazon adiantou 4 dias a entrega do pedido. Excelente.",5,2021-08-23
"  pra quem quer algo básico como eu , só pra assistir os serviços de streaming mais populares (netflix, disney, amazon, youtube, twitch, spotfy) é bom, fácil de instalar, e a entrega foi super rápida mas achei alguns defeitos :-função (espelhar tela) parece não funcionar no iphone.-pra baixar QUALQUER app vc precisa ter um cartão de crédito (inclusive os apps grátis, mas nada é cobrado) SE VC NÃO TEM CARTÃO, NÂO COMPRE.-só tem app básicos  (não tem HBOmax, GLOBOPLAY, FOX,TELECINE)-Não tem integração com todas as tvs (dei sorte que funcionou na minha)",3,2021-08-27
"  Junto com a minha Smart TV a integração do novo controle com a tv ficou perfeito, agora ligo e desligo a TV e o Firetv juntos, sobre outra melhoria não é notado, então só vale a pena o upgrade por causa do controle, comprei outro por que consegui um ótimo preço com um cupom.",5,2021-10-07
"  A unica observação que tive foi que nao pude utilizar ele no meu monitor, pois o controle de volume quem faz é a televisao, e nao o aparelho , desta forma nao consigo abaixar o volume pelo controle pois o controle manda o sinal para a tela, no caso como utilizo monitor de jogo Alienware 24,5 240hz nao consigo controlar o volume de um filme pelo controle, somente apertando os botoes do monitor , mas o aparelho é otimo, muito melhor que Xiaomi que eu utilizava antes. Recomendo 100%",5,2021-10-25
"  Fiquei decepcionado com o Fire Stick. A entrega da Amazon é sempre excelente, comprei um aparelho em razão de uma viagem que faria que queria o Stick para ter acesso a minhas séries e em especial ao GloboPlay em razão da Globo News, canal q assisto diariamente. Ao chegar descubro que não funciona o App tá Globo nem da HBOMax, uma verdadeira decepção. Tudo bem que cada sistema ou empresa use sua plataforma mas avisar ao consumidor seria o mínimo a fazer. Infelizmente tive q devolver e viajar sem o produto.",1,2022-03-12
"  Maravilhoso!! Os aplicativos pegam super bem, não travam ou ficam lento. O controle funciona imediatamente após o toque. A configuração do fire stick é bem simples e rápida. Já tinha comprado um outro dispositivo e uma das coisas que me incomodava era o fato que parecia que a internet não era suficiente, a imagem de fundo ficava desfocada/borrada, sendo que com o fire stick não tenho mais esse problema.  Para ficar perfeito falta apenas  aplicativo do HBO Max. Tbm não tem o globoplay, mas como não uso não foi um problema para mim.",5,2021-12-04
"  Muito bom o controle e todas as suas funcionalidades, porém ao instalar mais aplicativos, já deu a mensagem que não possui espaço e já pede para limar o cache. Pelo que vi em foruns o Fite Stick vem com 8 GB de armazenamento interno. Desse armazenamento interno de 8 GB, apenas cerca de 5 a 6 GB estão disponíveis para os usuários para instalações de aplicativos. Por exemplo: Disponibilizaram o jogo Asphalt, mas esqueçam, não dá para instalar, pois o espaço será insuficiente.",4,2021-12-15
"  Gostei bastante no início, achei bem razoável a integração com a Alexa…Só que em menos de 2 meses começou a apresentar problemas. Na foto é o que fica parecendo na tela, enquanto o áudio continua. Inclusive é possível ouvir o áudio e ler a legenda, mas a imagem do conteúdo não passa.Já reiniciei e está atualizado, mas ao desligar e religar, ao entrar novamente na Amazon Prime o problema retornou.Vou continuar tentando resolver por mais uns dias, antes de devolver.",3,2022-01-16
"  Adorei o fire tv!Comprei pensando que ele não ligaria minha TV ou mudaria o volume por minha TV ser mais antiga e ter visto pessoas reclamando disso mas ele funcionou certinho!!Acredito que seja como um comentário que li que o controle fica configurado na primeira TV que vc ligou.Ele funcionou perfeitamente, conversou direitinho com minha encho, já estava até com minha conta configurada nele, o que me poupou um belo trabalho.Só foi conectar na TV e usar ( depois de atualizar)",5,2021-08-04
"  Único ponto negativo, não tem HBOMax mas a culpa não é do Firestick.Qualidade da imagem é fantástica. Se integra perfeitamente a Alexa, controlo o Firestick com voz pelo celular, gerencia e funciona perfeitamente até na TV com mais de 10 anos, conecta dispositivos bluetooth tanto auto-falantes quanto fones de ouvidos e trabalha muito bem. Melhor aquisição para tornar uma TV em Smart. Valeu cada centavo, de longe melhor que as ""TV Box"" da vida.",5,2022-01-25
"  Fire TV nova 10, tudo da Amazon é excelente!!! Eu sempre recomendo à Amazon!Sou fanático pela Amazon .Estou adorando o aparelho!!! Recomendo!!!Muito bom !!!Poderiam colocar os app da HBO e globoplay!!!!!!!!!!!!!!!! Por favor !!!!",5,2021-05-24
"  Super simples para configurar.Todas as funções foram testadas e nota 10!Vimos comentários sobre o controle ser de material pouco resistente e discordamos totalmente. O controle é ótimo, liga e desliga a TV e controla o volume.Nossa TV é smart mas por ser antiga não atualiza mais o software, o que fez a TV ficar inútil pra nós. O Stick foi a solução perfeita e com baixo custo.",5,2021-07-10
"  Única reclamação seria sobre os botões de volume e ligar/desligar que não estavam funcionando, mas achei um vídeo no Youtube ensinando como resolver e deu certo!O controle é bonito, mas tem uma aparencia frágil.Quem não estiver conseguindo usar os botões de volume e ligar/desligar, procurem no youtube.Esse foi o que me ajudou https://www.youtube.com/watch?v=ymwsfCGx0Pc&ab_channel=TropadeGeeks",5,2021-12-09
"  Este novo modelo traz controle de volume, o que fazia falta no modelo anterior.  Isso ajuda a usar somente um controle para a TV.  E com o mesmo tamanho!Também tem botões para acesso rápido à AMAZON PRIME e NETFLIX.Recomendo.",5,2022-01-02
"  FIZ O PEDIDO 702-3363194-2964227. GOSTAMOS MUITO DE ASSISTIR FILMES. COMO GANHAMOS UMA TV LG NÃO SMART. COMPREI O ""NOVO FIRE TV STICK"" - ESTÁ DANDO O ERRO (CÓDIGO DE ERRO: CDN_ERROR"" E A MENSAGEM ""A LARGURA DE BANDA DA INTERNET DISPONÍVEL EM SEU DISPOSITIVO É INSUFICIENTE PARA STREAMING ININTERRUPTO"". MINHA INTERNET É DA NET-CLARO 35MG - USO TP-LINK TL-WR841N-ROTEADOR WIRELESS N 300Mbps e REPTIDOR MERCUSYS - MW 300RE. POR FAVOR PODERIAM NOS AJUDAR, COMO RESOLVER, PARA PODERMOS ASSISTIR NOSSOS FILMES.OBRIGADO E AGUARDO. PS. NÃO CHEGUEI A USAR O ALEXA.",3,2021-07-21
"  Produto é bom, atende as expectativas básicas de fazer a TV virar SmarTV. O forte são os Apps homologados como NetFlix e Youtube onde os streams de vídeo rodam perfeitamente sem falhas, sejam de imagens ou áudio como travamento ou pixels (imagem tentando ser montada aos quadrados) mesmo no wi-fi. Porém outros apps como IPTVs funciona bem mas há pixels em grande quantidade mesmo no adaptador para cabo de rede ethernet. Não testei jogos. Acredito que seria melhor se tivesse uma capacidade maior de processador, memória RAM e memória de armazenamento interno.",4,2021-05-22
